Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Tue Nov 1 2016,Milwaukee Bucks,117,New Orleans Pelicans,113,Milwaukee Bucks,New Orleans Pelicans,MIL,NOP
Tue Nov 1 2016,Orlando Magic,103,Philadelphia 76ers,101,Orlando Magic,Philadelphia 76ers,ORL,PHI
Tue Nov 1 2016,Golden State Warriors,127,Portland Trail Blazers,104,Golden State Warriors,Portland Trail Blazers,GSW,POR
Tue Nov 1 2016,Utah Jazz,106,San Antonio Spurs,91,Utah Jazz,San Antonio Spurs,UTA,SAS
Wed Nov 2 2016,Los Angeles Lakers,123,Atlanta Hawks,116,Los Angeles Lakers,Atlanta Hawks,LAL,ATL
Wed Nov 2 2016,Chicago Bulls,100,Boston Celtics,107,Boston Celtics,Chicago Bulls,BOS,CHI
Wed Nov 2 2016,Detroit Pistons,101,Brooklyn Nets,109,Brooklyn Nets,Detroit Pistons,BKN,DET
Wed Nov 2 2016,Philadelphia 76ers,93,Charlotte Hornets,109,Charlotte Hornets,Philadelphia 76ers,CHA,PHI
Wed Nov 2 2016,Oklahoma City Thunder,85,Los Angeles Clippers,83,Oklahoma City Thunder,Los Angeles Clippers,OKC,LAC
Wed Nov 2 2016,New Orleans Pelicans,83,Memphis Grizzlies,89,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP
Wed Nov 2 2016,Houston Rockets,118,New York Knicks,99,Houston Rockets,New York Knicks,HOU,NYK
Wed Nov 2 2016,Portland Trail Blazers,115,Phoenix Suns,118,Phoenix Suns,Portland Trail Blazers,PHX,POR
Wed Nov 2 2016,Dallas Mavericks,81,Utah Jazz,97,Utah Jazz,Dallas Mavericks,UTA,DAL
Wed Nov 2 2016,Toronto Raptors,113,Washington Wizards,103,Toronto Raptors,Washington Wizards,TOR,WAS
Thu Nov 3 2016,Boston Celtics,122,Cleveland Cavaliers,128,Cleveland Cavaliers,Boston Celtics,CLE,BOS
Thu Nov 3 2016,Oklahoma City Thunder,96,Golden State Warriors,122,Golden State Warriors,Oklahoma City Thunder,GSW,OKC
Thu Nov 3 2016,Indiana Pacers,107,Milwaukee Bucks,125,Milwaukee Bucks,Indiana Pacers,MIL,IND
Thu Nov 3 2016,Denver Nuggets,102,Minnesota Timberwolves,99,Denver Nuggets,Minnesota Timberwolves,DEN,MIN
