Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Wed Nov 23 2016,Phoenix Suns,92,Orlando Magic,87,Phoenix Suns,Orlando Magic,PHX,ORL
Wed Nov 23 2016,Memphis Grizzlies,104,Philadelphia 76ers,99,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI
Wed Nov 23 2016,Oklahoma City Thunder,101,Sacramento Kings,116,Sacramento Kings,Oklahoma City Thunder,SAC,OKC
Wed Nov 23 2016,Denver Nuggets,83,Utah Jazz,108,Utah Jazz,Denver Nuggets,UTA,DEN
Fri Nov 25 2016,San Antonio Spurs,109,Boston Celtics,103,San Antonio Spurs,Boston Celtics,SAS,BOS
Fri Nov 25 2016,Dallas Mavericks,90,Cleveland Cavaliers,128,Cleveland Cavaliers,Dallas Mavericks,CLE,DAL
Fri Nov 25 2016,Oklahoma City Thunder,132,Denver Nuggets,129,Oklahoma City Thunder,Denver Nuggets,OKC,DEN
Fri Nov 25 2016,Los Angeles Clippers,97,Detroit Pistons,108,Detroit Pistons,Los Angeles Clippers,DET,LAC
Fri Nov 25 2016,Brooklyn Nets,97,Indiana Pacers,118,Indiana Pacers,Brooklyn Nets,IND,BKN
Fri Nov 25 2016,Golden State Warriors,109,Los Angeles Lakers,85,Golden State Warriors,Los Angeles Lakers,GSW,LAL
Fri Nov 25 2016,Miami Heat,90,Memphis Grizzlies,81,Miami Heat,Memphis Grizzlies,MIA,MEM
Fri Nov 25 2016,Toronto Raptors,105,Milwaukee Bucks,99,Toronto Raptors,Milwaukee Bucks,TOR,MIL
Fri Nov 25 2016,Charlotte Hornets,111,New York Knicks,113,New York Knicks,Charlotte Hornets,NYK,CHA
Fri Nov 25 2016,Washington Wizards,94,Orlando Magic,91,Washington Wizards,Orlando Magic,WAS,ORL
Fri Nov 25 2016,Chicago Bulls,105,Philadelphia 76ers,89,Chicago Bulls,Philadelphia 76ers,CHI,PHI
Fri Nov 25 2016,Minnesota Timberwolves,98,Phoenix Suns,85,Minnesota Timberwolves,Phoenix Suns,MIN,PHX
Fri Nov 25 2016,New Orleans Pelicans,104,Portland Trail Blazers,119,Portland Trail Blazers,New Orleans Pelicans,POR,NOP
Fri Nov 25 2016,Houston Rockets,117,Sacramento Kings,104,Houston Rockets,Sacramento Kings,HOU,SAC
Fri Nov 25 2016,Atlanta Hawks,68,Utah Jazz,95,Utah Jazz,Atlanta Hawks,UTA,ATL
Sat Nov 26 2016,New York Knicks,102,Charlotte Hornets,107,Charlotte Hornets,New York Knicks,CHA,NYK
Sat Nov 26 2016,Minnesota Timberwolves,102,Golden State Warriors,115,Golden State Warriors,Minnesota Timberwolves,GSW,MIN
Sat Nov 26 2016,Memphis Grizzlies,110,Miami Heat,107,Memphis Grizzlies,Miami Heat,MEM,MIA
Sat Nov 26 2016,Detroit Pistons,88,Oklahoma City Thunder,106,Oklahoma City Thunder,Detroit Pistons,OKC,DET
Sat Nov 26 2016,San Antonio Spurs,112,Washington Wizards,100,San Antonio Spurs,Washington Wizards,SAS,WAS
Sun Nov 27 2016,Sacramento Kings,122,Brooklyn Nets,105,Sacramento Kings,Brooklyn Nets,SAC,BKN
Sun Nov 27 2016,New Orleans Pelicans,81,Dallas Mavericks,91,Dallas Mavericks,New Orleans Pelicans,DAL,NOP
Sun Nov 27 2016,Los Angeles Clippers,70,Indiana Pacers,91,Indiana Pacers,Los Angeles Clippers,IND,LAC
Sun Nov 27 2016,Atlanta Hawks,94,Los Angeles Lakers,109,Los Angeles Lakers,Atlanta Hawks,LAL,ATL
Sun Nov 27 2016,Milwaukee Bucks,104,Orlando Magic,96,Milwaukee Bucks,Orlando Magic,MIL,ORL
Sun Nov 27 2016,Cleveland Cavaliers,112,Philadelphia 76ers,108,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI
Sun Nov 27 2016,Denver Nuggets,120,Phoenix Suns,114,Denver Nuggets,Phoenix Suns,DEN,PHX
Sun Nov 27 2016,Houston Rockets,130,Portland Trail Blazers,114,Houston Rockets,Portland Trail Blazers,HOU,POR
Mon Nov 28 2016,Atlanta Hawks,100,Golden State Warriors,105,Golden State Warriors,Atlanta Hawks,GSW,ATL
Mon Nov 28 2016,Charlotte Hornets,104,Memphis Grizzlies,85,Charlotte Hornets,Memphis Grizzlies,CHA,MEM
Mon Nov 28 2016,Boston Celtics,112,Miami Heat,104,Boston Celtics,Miami Heat,BOS,MIA
Mon Nov 28 2016,Utah Jazz,112,Minnesota Timberwolves,103,Utah Jazz,Minnesota Timberwolves,UTA,MIN
Mon Nov 28 2016,Oklahoma City Thunder,112,New York Knicks,103,Oklahoma City Thunder,New York Knicks,OKC,NYK
Mon Nov 28 2016,Philadelphia 76ers,95,Toronto Raptors,122,Toronto Raptors,Philadelphia 76ers,TOR,PHI
Mon Nov 28 2016,Sacramento Kings,95,Washington Wizards,101,Washington Wizards,Sacramento Kings,WAS,SAC
Tue Nov 29 2016,Los Angeles Clippers,122,Brooklyn Nets,127,Brooklyn Nets,Los Angeles Clippers,BKN,LAC
Tue Nov 29 2016,Detroit Pistons,112,Charlotte Hornets,89,Detroit Pistons,Charlotte Hornets,DET,CHA
Tue Nov 29 2016,Cleveland Cavaliers,101,Milwaukee Bucks,118,Milwaukee Bucks,Cleveland Cavaliers,MIL,CLE
Tue Nov 29 2016,Los Angeles Lakers,88,New Orleans Pelicans,105,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL
Tue Nov 29 2016,Orlando Magic,95,San Antonio Spurs,83,Orlando Magic,San Antonio Spurs,ORL,SAS
Tue Nov 29 2016,Houston Rockets,101,Utah Jazz,120,Utah Jazz,Houston Rockets,UTA,HOU
Wed Nov 30 2016,Detroit Pistons,121,Boston Celtics,114,Detroit Pistons,Boston Celtics,DET,BOS
Wed Nov 30 2016,Los Angeles Lakers,96,Chicago Bulls,90,Los Angeles Lakers,Chicago Bulls,LAL,CHI
Wed Nov 30 2016,San Antonio Spurs,94,Dallas Mavericks,87,San Antonio Spurs,Dallas Mavericks,SAS,DAL
Wed Nov 30 2016,Miami Heat,106,Denver Nuggets,98,Miami Heat,Denver Nuggets,MIA,DEN
Wed Nov 30 2016,New York Knicks,106,Minnesota Timberwolves,104,New York Knicks,Minnesota Timberwolves,NYK,MIN
Wed Nov 30 2016,Washington Wizards,115,Oklahoma City Thunder,126,Oklahoma City Thunder,Washington Wizards,OKC,WAS
Wed Nov 30 2016,Atlanta Hawks,107,Phoenix Suns,109,Phoenix Suns,Atlanta Hawks,PHX,ATL
Wed Nov 30 2016,Indiana Pacers,109,Portland Trail Blazers,131,Portland Trail Blazers,Indiana Pacers,POR,IND
Wed Nov 30 2016,Memphis Grizzlies,105,Toronto Raptors,120,Toronto Raptors,Memphis Grizzlies,TOR,MEM
Thu Dec 1 2016,Milwaukee Bucks,111,Brooklyn Nets,93,Milwaukee Bucks,Brooklyn Nets,MIL,BKN
Thu Dec 1 2016,Dallas Mavericks,87,Charlotte Hornets,97,Charlotte Hornets,Dallas Mavericks,CHA,DAL
Thu Dec 1 2016,Los Angeles Clippers,113,Cleveland Cavaliers,94,Los Angeles Clippers,Cleveland Cavaliers,LAC,CLE
Thu Dec 1 2016,Houston Rockets,132,Golden State Warriors,127,Houston Rockets,Golden State Warriors,HOU,GSW
Thu Dec 1 2016,Orlando Magic,94,Memphis Grizzlies,95,Memphis Grizzlies,Orlando Magic,MEM,ORL
Thu Dec 1 2016,Miami Heat,111,Utah Jazz,110,Miami Heat,Utah Jazz,MIA,UTA
Fri Dec 2 2016,Detroit Pistons,121,Atlanta Hawks,85,Detroit Pistons,Atlanta Hawks,DET,ATL
Fri Dec 2 2016,Sacramento Kings,92,Boston Celtics,97,Boston Celtics,Sacramento Kings,BOS,SAC
Fri Dec 2 2016,Cleveland Cavaliers,105,Chicago Bulls,111,Chicago Bulls,Cleveland Cavaliers,CHI,CLE
Fri Dec 2 2016,Houston Rockets,128,Denver Nuggets,110,Houston Rockets,Denver Nuggets,HOU,DEN
Fri Dec 2 2016,Los Angeles Clippers,114,New Orleans Pelicans,96,Los Angeles Clippers,New Orleans Pelicans,LAC,NOP
Fri Dec 2 2016,Minnesota Timberwolves,114,New York Knicks,118,New York Knicks,Minnesota Timberwolves,NYK,MIN
Fri Dec 2 2016,Orlando Magic,105,Philadelphia 76ers,88,Orlando Magic,Philadelphia 76ers,ORL,PHI
Fri Dec 2 2016,Washington Wizards,105,San Antonio Spurs,107,San Antonio Spurs,Washington Wizards,SAS,WAS
Fri Dec 2 2016,Los Angeles Lakers,80,Toronto Raptors,113,Toronto Raptors,Los Angeles Lakers,TOR,LAL
Sat Dec 3 2016,Minnesota Timberwolves,125,Charlotte Hornets,120,Minnesota Timberwolves,Charlotte Hornets,MIN,CHA
Sat Dec 3 2016,Chicago Bulls,82,Dallas Mavericks,107,Dallas Mavericks,Chicago Bulls,DAL,CHI
Sat Dec 3 2016,Phoenix Suns,109,Golden State Warriors,138,Golden State Warriors,Phoenix Suns,GSW,PHX
Sat Dec 3 2016,Los Angeles Lakers,100,Memphis Grizzlies,103,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL
Sat Dec 3 2016,Brooklyn Nets,103,Milwaukee Bucks,112,Milwaukee Bucks,Brooklyn Nets,MIL,BKN
Sat Dec 3 2016,Boston Celtics,107,Philadelphia 76ers,106,Boston Celtics,Philadelphia 76ers,BOS,PHI
Sat Dec 3 2016,Miami Heat,92,Portland Trail Blazers,99,Portland Trail Blazers,Miami Heat,POR,MIA
Sat Dec 3 2016,Atlanta Hawks,84,Toronto Raptors,128,Toronto Raptors,Atlanta Hawks,TOR,ATL
Sat Dec 3 2016,Denver Nuggets,98,Utah Jazz,105,Utah Jazz,Denver Nuggets,UTA,DEN
Sun Dec 4 2016,Orlando Magic,98,Detroit Pistons,92,Orlando Magic,Detroit Pistons,ORL,DET
Sun Dec 4 2016,Indiana Pacers,111,Los Angeles Clippers,102,Indiana Pacers,Los Angeles Clippers,IND,LAC
Sun Dec 4 2016,Sacramento Kings,98,New York Knicks,106,New York Knicks,Sacramento Kings,NYK,SAC
Sun Dec 4 2016,New Orleans Pelicans,92,Oklahoma City Thunder,101,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP
Mon Dec 5 2016,Oklahoma City Thunder,102,Atlanta Hawks,99,Oklahoma City Thunder,Atlanta Hawks,OKC,ATL
Mon Dec 5 2016,Washington Wizards,118,Brooklyn Nets,113,Washington Wizards,Brooklyn Nets,WAS,BKN
Mon Dec 5 2016,Portland Trail Blazers,112,Chicago Bulls,110,Portland Trail Blazers,Chicago Bulls,POR,CHI
Mon Dec 5 2016,Charlotte Hornets,109,Dallas Mavericks,101,Charlotte Hornets,Dallas Mavericks,CHA,DAL
Mon Dec 5 2016,Indiana Pacers,106,Golden State Warriors,142,Golden State Warriors,Indiana Pacers,GSW,IND
Mon Dec 5 2016,Boston Celtics,106,Houston Rockets,107,Houston Rockets,Boston Celtics,HOU,BOS
Mon Dec 5 2016,Utah Jazz,107,Los Angeles Lakers,101,Utah Jazz,Los Angeles Lakers,UTA,LAL
Mon Dec 5 2016,San Antonio Spurs,97,Milwaukee Bucks,96,San Antonio Spurs,Milwaukee Bucks,SAS,MIL
Mon Dec 5 2016,Memphis Grizzlies,110,New Orleans Pelicans,108,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP
Mon Dec 5 2016,Denver Nuggets,106,Philadelphia 76ers,98,Denver Nuggets,Philadelphia 76ers,DEN,PHI
Mon Dec 5 2016,Cleveland Cavaliers,116,Toronto Raptors,112,Cleveland Cavaliers,Toronto Raptors,CLE,TOR
Tue Dec 6 2016,Chicago Bulls,91,Detroit Pistons,102,Detroit Pistons,Chicago Bulls,DET,CHI
Tue Dec 6 2016,Philadelphia 76ers,91,Memphis Grizzlies,96,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI
Tue Dec 6 2016,New York Knicks,114,Miami Heat,103,New York Knicks,Miami Heat,NYK,MIA
Tue Dec 6 2016,San Antonio Spurs,105,Minnesota Timberwolves,91,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN
Tue Dec 6 2016,Phoenix Suns,105,Utah Jazz,112,Utah Jazz,Phoenix Suns,UTA,PHX
Tue Dec 6 2016,Orlando Magic,124,Washington Wizards,116,Orlando Magic,Washington Wizards,ORL,WAS
Wed Dec 7 2016,Miami Heat,95,Atlanta Hawks,103,Atlanta Hawks,Miami Heat,ATL,MIA
Wed Dec 7 2016,Denver Nuggets,111,Brooklyn Nets,116,Brooklyn Nets,Denver Nuggets,BKN,DEN
Wed Dec 7 2016,Detroit Pistons,77,Charlotte Hornets,87,Charlotte Hornets,Detroit Pistons,CHA,DET
Wed Dec 7 2016,Sacramento Kings,120,Dallas Mavericks,89,Sacramento Kings,Dallas Mavericks,SAC,DAL
Wed Dec 7 2016,Los Angeles Lakers,95,Houston Rockets,134,Houston Rockets,Los Angeles Lakers,HOU,LAL
Wed Dec 7 2016,Golden State Warriors,115,Los Angeles Clippers,98,Golden State Warriors,Los Angeles Clippers,GSW,LAC
Wed Dec 7 2016,Portland Trail Blazers,107,Milwaukee Bucks,115,Milwaukee Bucks,Portland Trail Blazers,MIL,POR
Wed Dec 7 2016,Cleveland Cavaliers,126,New York Knicks,94,Cleveland Cavaliers,New York Knicks,CLE,NYK
Wed Dec 7 2016,Boston Celtics,117,Orlando Magic,87,Boston Celtics,Orlando Magic,BOS,ORL
Wed Dec 7 2016,Indiana Pacers,109,Phoenix Suns,94,Indiana Pacers,Phoenix Suns,IND,PHX
Thu Dec 8 2016,San Antonio Spurs,91,Chicago Bulls,95,Chicago Bulls,San Antonio Spurs,CHI,SAS
Thu Dec 8 2016,Portland Trail Blazers,86,Memphis Grizzlies,88,Memphis Grizzlies,Portland Trail Blazers,MEM,POR
Thu Dec 8 2016,Philadelphia 76ers,99,New Orleans Pelicans,88,Philadelphia 76ers,New Orleans Pelicans,PHI,NOP
Thu Dec 8 2016,Minnesota Timberwolves,110,Toronto Raptors,124,Toronto Raptors,Minnesota Timberwolves,TOR,MIN
Thu Dec 8 2016,Golden State Warriors,106,Utah Jazz,99,Golden State Warriors,Utah Jazz,GSW,UTA
Thu Dec 8 2016,Denver Nuggets,85,Washington Wizards,92,Washington Wizards,Denver Nuggets,WAS,DEN
Fri Dec 9 2016,Toronto Raptors,101,Boston Celtics,94,Toronto Raptors,Boston Celtics,TOR,BOS
Fri Dec 9 2016,Orlando Magic,88,Charlotte Hornets,109,Charlotte Hornets,Orlando Magic,CHA,ORL
Fri Dec 9 2016,Miami Heat,84,Cleveland Cavaliers,114,Cleveland Cavaliers,Miami Heat,CLE,MIA
Fri Dec 9 2016,Indiana Pacers,103,Dallas Mavericks,111,Dallas Mavericks,Indiana Pacers,DAL,IND
Fri Dec 9 2016,Phoenix Suns,119,Los Angeles Lakers,115,Phoenix Suns,Los Angeles Lakers,PHX,LAL
Fri Dec 9 2016,Atlanta Hawks,114,Milwaukee Bucks,110,Atlanta Hawks,Milwaukee Bucks,ATL,MIL
Fri Dec 9 2016,Detroit Pistons,117,Minnesota Timberwolves,90,Detroit Pistons,Minnesota Timberwolves,DET,MIN
Fri Dec 9 2016,Houston Rockets,102,Oklahoma City Thunder,99,Houston Rockets,Oklahoma City Thunder,HOU,OKC
Fri Dec 9 2016,New York Knicks,103,Sacramento Kings,100,New York Knicks,Sacramento Kings,NYK,SAC
Sat Dec 10 2016,Miami Heat,100,Chicago Bulls,105,Chicago Bulls,Miami Heat,CHI,MIA
Sat Dec 10 2016,Charlotte Hornets,105,Cleveland Cavaliers,116,Cleveland Cavaliers,Charlotte Hornets,CLE,CHA
Sat Dec 10 2016,Dallas Mavericks,87,Houston Rockets,109,Houston Rockets,Dallas Mavericks,HOU,DAL
Sat Dec 10 2016,Portland Trail Blazers,111,Indiana Pacers,118,Indiana Pacers,Portland Trail Blazers,IND,POR
Sat Dec 10 2016,New Orleans Pelicans,105,Los Angeles Clippers,133,Los Angeles Clippers,New Orleans Pelicans,LAC,NOP
Sat Dec 10 2016,Golden State Warriors,89,Memphis Grizzlies,110,Memphis Grizzlies,Golden State Warriors,MEM,GSW
Sat Dec 10 2016,Denver Nuggets,121,Orlando Magic,113,Denver Nuggets,Orlando Magic,DEN,ORL
Sat Dec 10 2016,Brooklyn Nets,101,San Antonio Spurs,130,San Antonio Spurs,Brooklyn Nets,SAS,BKN
Sat Dec 10 2016,Sacramento Kings,84,Utah Jazz,104,Utah Jazz,Sacramento Kings,UTA,SAC
Sat Dec 10 2016,Milwaukee Bucks,105,Washington Wizards,110,Washington Wizards,Milwaukee Bucks,WAS,MIL
Sun Dec 11 2016,Philadelphia 76ers,97,Detroit Pistons,79,Philadelphia 76ers,Detroit Pistons,PHI,DET
Sun Dec 11 2016,New York Knicks,118,Los Angeles Lakers,112,New York Knicks,Los Angeles Lakers,NYK,LAL
Sun Dec 11 2016,Golden State Warriors,116,Minnesota Timberwolves,108,Golden State Warriors,Minnesota Timberwolves,GSW,MIN
Sun Dec 11 2016,Boston Celtics,96,Oklahoma City Thunder,99,Oklahoma City Thunder,Boston Celtics,OKC,BOS
Sun Dec 11 2016,New Orleans Pelicans,120,Phoenix Suns,119,New Orleans Pelicans,Phoenix Suns,NOP,PHX
Mon Dec 12 2016,Denver Nuggets,92,Dallas Mavericks,112,Dallas Mavericks,Denver Nuggets,DAL,DEN
Mon Dec 12 2016,Brooklyn Nets,118,Houston Rockets,122,Houston Rockets,Brooklyn Nets,HOU,BKN
Mon Dec 12 2016,Charlotte Hornets,94,Indiana Pacers,110,Indiana Pacers,Charlotte Hornets,IND,CHA
Mon Dec 12 2016,Portland Trail Blazers,120,Los Angeles Clippers,121,Los Angeles Clippers,Portland Trail Blazers,LAC,POR
Mon Dec 12 2016,Washington Wizards,101,Miami Heat,112,Miami Heat,Washington Wizards,MIA,WAS
Mon Dec 12 2016,Los Angeles Lakers,92,Sacramento Kings,116,Sacramento Kings,Los Angeles Lakers,SAC,LAL
Mon Dec 12 2016,Milwaukee Bucks,100,Toronto Raptors,122,Toronto Raptors,Milwaukee Bucks,TOR,MIL
Tue Dec 13 2016,Orlando Magic,131,Atlanta Hawks,120,Orlando Magic,Atlanta Hawks,ORL,ATL
Tue Dec 13 2016,Minnesota Timberwolves,99,Chicago Bulls,94,Minnesota Timberwolves,Chicago Bulls,MIN,CHI
Tue Dec 13 2016,Memphis Grizzlies,86,Cleveland Cavaliers,103,Cleveland Cavaliers,Memphis Grizzlies,CLE,MEM
Tue Dec 13 2016,Golden State Warriors,113,New Orleans Pelicans,109,Golden State Warriors,New Orleans Pelicans,GSW,NOP
Tue Dec 13 2016,New York Knicks,111,Phoenix Suns,113,Phoenix Suns,New York Knicks,PHX,NYK
Tue Dec 13 2016,Oklahoma City Thunder,95,Portland Trail Blazers,114,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC
Wed Dec 14 2016,Los Angeles Lakers,97,Brooklyn Nets,107,Brooklyn Nets,Los Angeles Lakers,BKN,LAL
Wed Dec 14 2016,Detroit Pistons,95,Dallas Mavericks,85,Detroit Pistons,Dallas Mavericks,DET,DAL
Wed Dec 14 2016,Sacramento Kings,98,Houston Rockets,132,Houston Rockets,Sacramento Kings,HOU,SAC
Wed Dec 14 2016,Cleveland Cavaliers,85,Memphis Grizzlies,93,Memphis Grizzlies,Cleveland Cavaliers,MEM,CLE
Wed Dec 14 2016,Indiana Pacers,89,Miami Heat,95,Miami Heat,Indiana Pacers,MIA,IND
Wed Dec 14 2016,Los Angeles Clippers,113,Orlando Magic,108,Los Angeles Clippers,Orlando Magic,LAC,ORL
Wed Dec 14 2016,Toronto Raptors,123,Philadelphia 76ers,114,Toronto Raptors,Philadelphia 76ers,TOR,PHI
Wed Dec 14 2016,Boston Celtics,101,San Antonio Spurs,108,San Antonio Spurs,Boston Celtics,SAS,BOS
Wed Dec 14 2016,Oklahoma City Thunder,89,Utah Jazz,109,Utah Jazz,Oklahoma City Thunder,UTA,OKC
Wed Dec 14 2016,Charlotte Hornets,106,Washington Wizards,109,Washington Wizards,Charlotte Hornets,WAS,CHA
Thu Dec 15 2016,Portland Trail Blazers,120,Denver Nuggets,132,Denver Nuggets,Portland Trail Blazers,DEN,POR
Thu Dec 15 2016,New York Knicks,90,Golden State Warriors,103,Golden State Warriors,New York Knicks,GSW,NYK
Thu Dec 15 2016,Chicago Bulls,97,Milwaukee Bucks,108,Milwaukee Bucks,Chicago Bulls,MIL,CHI
Thu Dec 15 2016,Indiana Pacers,95,New Orleans Pelicans,102,New Orleans Pelicans,Indiana Pacers,NOP,IND
Thu Dec 15 2016,San Antonio Spurs,107,Phoenix Suns,92,San Antonio Spurs,Phoenix Suns,SAS,PHX
Fri Dec 16 2016,Charlotte Hornets,88,Boston Celtics,96,Boston Celtics,Charlotte Hornets,BOS,CHA
Fri Dec 16 2016,Milwaukee Bucks,95,Chicago Bulls,69,Milwaukee Bucks,Chicago Bulls,MIL,CHI
Fri Dec 16 2016,New Orleans Pelicans,100,Houston Rockets,122,Houston Rockets,New Orleans Pelicans,HOU,NOP
Fri Dec 16 2016,Sacramento Kings,96,Memphis Grizzlies,92,Sacramento Kings,Memphis Grizzlies,SAC,MEM
Fri Dec 16 2016,Los Angeles Clippers,102,Miami Heat,98,Los Angeles Clippers,Miami Heat,LAC,MIA
Fri Dec 16 2016,Brooklyn Nets,111,Orlando Magic,118,Orlando Magic,Brooklyn Nets,ORL,BKN
Fri Dec 16 2016,Los Angeles Lakers,100,Philadelphia 76ers,89,Los Angeles Lakers,Philadelphia 76ers,LAL,PHI
Fri Dec 16 2016,Atlanta Hawks,125,Toronto Raptors,121,Atlanta Hawks,Toronto Raptors,ATL,TOR
Fri Dec 16 2016,Dallas Mavericks,100,Utah Jazz,103,Utah Jazz,Dallas Mavericks,UTA,DAL
Fri Dec 16 2016,Detroit Pistons,108,Washington Wizards,122,Washington Wizards,Detroit Pistons,WAS,DET
Sat Dec 17 2016,Charlotte Hornets,107,Atlanta Hawks,99,Charlotte Hornets,Atlanta Hawks,CHA,ATL
Sat Dec 17 2016,Los Angeles Lakers,108,Cleveland Cavaliers,119,Cleveland Cavaliers,Los Angeles Lakers,CLE,LAL
Sat Dec 17 2016,New York Knicks,114,Denver Nuggets,127,Denver Nuggets,New York Knicks,DEN,NYK
Sat Dec 17 2016,Indiana Pacers,105,Detroit Pistons,90,Indiana Pacers,Detroit Pistons,IND,DET
Sat Dec 17 2016,Portland Trail Blazers,90,Golden State Warriors,135,Golden State Warriors,Portland Trail Blazers,GSW,POR
Sat Dec 17 2016,Houston Rockets,111,Minnesota Timberwolves,109,Houston Rockets,Minnesota Timberwolves,HOU,MIN
Sat Dec 17 2016,Phoenix Suns,101,Oklahoma City Thunder,114,Oklahoma City Thunder,Phoenix Suns,OKC,PHX
Sun Dec 18 2016,Sacramento Kings,79,Dallas Mavericks,99,Dallas Mavericks,Sacramento Kings,DAL,SAC
Sun Dec 18 2016,Utah Jazz,82,Memphis Grizzlies,73,Utah Jazz,Memphis Grizzlies,UTA,MEM
Sun Dec 18 2016,Boston Celtics,105,Miami Heat,95,Boston Celtics,Miami Heat,BOS,MIA
Sun Dec 18 2016,Toronto Raptors,109,Orlando Magic,79,Toronto Raptors,Orlando Magic,TOR,ORL
Sun Dec 18 2016,Brooklyn Nets,107,Philadelphia 76ers,108,Philadelphia 76ers,Brooklyn Nets,PHI,BKN
Sun Dec 18 2016,New Orleans Pelicans,100,San Antonio Spurs,113,San Antonio Spurs,New Orleans Pelicans,SAS,NOP
Sun Dec 18 2016,Los Angeles Clippers,110,Washington Wizards,117,Washington Wizards,Los Angeles Clippers,WAS,LAC
Mon Dec 19 2016,Detroit Pistons,82,Chicago Bulls,113,Chicago Bulls,Detroit Pistons,CHI,DET
Mon Dec 19 2016,Dallas Mavericks,107,Denver Nuggets,117,Denver Nuggets,Dallas Mavericks,DEN,DAL
Mon Dec 19 2016,Washington Wizards,105,Indiana Pacers,107,Indiana Pacers,Washington Wizards,IND,WAS
Mon Dec 19 2016,Phoenix Suns,108,Minnesota Timberwolves,115,Minnesota Timberwolves,Phoenix Suns,MIN,PHX
Mon Dec 19 2016,Atlanta Hawks,110,Oklahoma City Thunder,108,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC
Tue Dec 20 2016,Los Angeles Lakers,113,Charlotte Hornets,117,Charlotte Hornets,Los Angeles Lakers,CHA,LAL
Tue Dec 20 2016,Utah Jazz,74,Golden State Warriors,104,Golden State Warriors,Utah Jazz,GSW,UTA
Tue Dec 20 2016,San Antonio Spurs,102,Houston Rockets,100,San Antonio Spurs,Houston Rockets,SAS,HOU
Tue Dec 20 2016,Denver Nuggets,102,Los Angeles Clippers,119,Los Angeles Clippers,Denver Nuggets,LAC,DEN
Tue Dec 20 2016,Boston Celtics,112,Memphis Grizzlies,109,Boston Celtics,Memphis Grizzlies,BOS,MEM
Tue Dec 20 2016,Orlando Magic,136,Miami Heat,130,Orlando Magic,Miami Heat,ORL,MIA
Tue Dec 20 2016,Cleveland Cavaliers,114,Milwaukee Bucks,108,Cleveland Cavaliers,Milwaukee Bucks,CLE,MIL
Tue Dec 20 2016,Indiana Pacers,111,New York Knicks,118,New York Knicks,Indiana Pacers,NYK,IND
Tue Dec 20 2016,New Orleans Pelicans,108,Philadelphia 76ers,93,New Orleans Pelicans,Philadelphia 76ers,NOP,PHI
Tue Dec 20 2016,Portland Trail Blazers,121,Sacramento Kings,126,Sacramento Kings,Portland Trail Blazers,SAC,POR
Tue Dec 20 2016,Brooklyn Nets,104,Toronto Raptors,116,Toronto Raptors,Brooklyn Nets,TOR,BKN
Wed Dec 21 2016,Minnesota Timberwolves,92,Atlanta Hawks,84,Minnesota Timberwolves,Atlanta Hawks,MIN,ATL
Wed Dec 21 2016,Washington Wizards,107,Chicago Bulls,97,Washington Wizards,Chicago Bulls,WAS,CHI
Wed Dec 21 2016,Milwaukee Bucks,102,Cleveland Cavaliers,113,Cleveland Cavaliers,Milwaukee Bucks,CLE,MIL
Wed Dec 21 2016,Memphis Grizzlies,98,Detroit Pistons,86,Memphis Grizzlies,Detroit Pistons,MEM,DET
Wed Dec 21 2016,Oklahoma City Thunder,121,New Orleans Pelicans,110,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP
Wed Dec 21 2016,Houston Rockets,125,Phoenix Suns,111,Houston Rockets,Phoenix Suns,HOU,PHX
Wed Dec 21 2016,Dallas Mavericks,96,Portland Trail Blazers,95,Dallas Mavericks,Portland Trail Blazers,DAL,POR
Wed Dec 21 2016,Sacramento Kings,94,Utah Jazz,93,Sacramento Kings,Utah Jazz,SAC,UTA
Thu Dec 22 2016,Golden State Warriors,117,Brooklyn Nets,101,Golden State Warriors,Brooklyn Nets,GSW,BKN
Thu Dec 22 2016,Boston Celtics,109,Indiana Pacers,102,Boston Celtics,Indiana Pacers,BOS,IND
Thu Dec 22 2016,San Antonio Spurs,101,Los Angeles Clippers,106,Los Angeles Clippers,San Antonio Spurs,LAC,SAS
Thu Dec 22 2016,Los Angeles Lakers,107,Miami Heat,115,Miami Heat,Los Angeles Lakers,MIA,LAL
Thu Dec 22 2016,Orlando Magic,95,New York Knicks,106,New York Knicks,Orlando Magic,NYK,ORL
Fri Dec 23 2016,Oklahoma City Thunder,117,Boston Celtics,112,Oklahoma City Thunder,Boston Celtics,OKC,BOS
Fri Dec 23 2016,Chicago Bulls,91,Charlotte Hornets,103,Charlotte Hornets,Chicago Bulls,CHA,CHI
Fri Dec 23 2016,Brooklyn Nets,99,Cleveland Cavaliers,119,Cleveland Cavaliers,Brooklyn Nets,CLE,BKN
Fri Dec 23 2016,Atlanta Hawks,109,Denver Nuggets,108,Atlanta Hawks,Denver Nuggets,ATL,DEN
