Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
Rondae Hollis-Jefferson,SF,23,BRK,68,28.2,5,10.6,0.472,0.481,0.788,6.8,2.5,1,0.7,13.9
Jonathon Simmons,SG,28,ORL,69,29.4,5.1,11,0.465,0.511,0.768,3.5,2.5,0.8,0.2,13.9
Jayson Tatum,SF,19,BOS,80,30.5,5,10.4,0.475,0.538,0.826,5,1.6,1,0.7,13.9
Marco Belinelli,SG,31,PHI,28,26.3,4.9,10,0.495,0.597,0.87,1.8,1.6,0.7,0.3,13.6
Marcus Morris,PF,28,BOS,54,26.8,4.9,11.3,0.429,0.499,0.805,5.4,1.3,0.6,0.2,13.6
DeMarre Carroll,SF,31,BRK,73,29.9,4.5,10.8,0.414,0.506,0.764,6.6,2,0.8,0.4,13.5
Rudy Gobert,C,25,UTA,56,32.4,4.9,7.9,0.622,0.622,0.682,10.7,1.4,0.8,2.3,13.5
Buddy Hield,SG,24,SAC,80,25.3,5.2,11.7,0.446,0.54,0.877,3.8,1.9,1.1,0.3,13.5
Kentavious Caldwell-Pope,SG,24,LAL,74,33.2,4.6,10.8,0.426,0.526,0.789,5.2,2.2,1.4,0.2,13.4
Kris Dunn,PG,23,CHI,52,29.3,5.5,12.8,0.429,0.462,0.73,4.3,6,2,0.5,13.4
Michael Beasley,PF,29,NYK,74,22.3,5.5,10.9,0.507,0.528,0.78,5.6,1.7,0.5,0.6,13.2
Allen Crabbe,SG,25,BRK,75,29.3,4.5,11,0.407,0.529,0.852,4.3,1.6,0.6,0.5,13.2
Bobby Portis,PF,22,CHI,73,22.5,5.2,11.1,0.471,0.52,0.769,6.8,1.7,0.7,0.3,13.2
Josh Jackson,SF,20,PHO,77,25.4,5.1,12.1,0.417,0.448,0.634,4.6,1.5,1,0.5,13.1
Ricky Rubio,PG,27,UTA,77,29.3,4.5,10.7,0.418,0.476,0.866,4.6,5.3,1.6,0.1,13.1
Malcolm Brogdon,PG,25,MIL,48,29.9,5.1,10.5,0.485,0.547,0.882,3.3,3.2,0.9,0.3,13
Brook Lopez,C,29,LAL,74,23.4,5,10.7,0.465,0.536,0.703,4,1.7,0.4,1.3,13
Kent Bazemore,SG,28,ATL,65,27.5,4.4,10.4,0.42,0.5,0.796,3.8,3.5,1.5,0.7,12.9
Al Horford,C,31,BOS,72,31.6,5.1,10.5,0.489,0.553,0.783,7.4,4.7,0.6,1.1,12.9
Jeremy Lamb,SG,25,CHO,80,24.6,4.8,10.4,0.457,0.513,0.861,4.1,2.3,0.8,0.4,12.9
Josh Richardson,SF,24,MIA,81,33.2,4.9,10.9,0.451,0.523,0.845,3.5,2.9,1.5,0.9,12.9
Trey Burke,PG,25,NYK,36,21.8,5.4,10.7,0.503,0.552,0.649,2,4.7,0.7,0.1,12.8
Willie Cauley-Stein,C,24,SAC,73,28,5.3,10.6,0.502,0.504,0.619,7,2.4,1.1,0.9,12.8
